CUMV_N,A1_5,A1_3,A5_3,A5_11,A11_42,A11_3,A5_42,A11_15,A15_35,A35_42,A11_35,A15_42,A15_21,A21_32,A32_35,A15_32,A35_21,A21_22,A22_30,A30_32,A21_30,A32_22,A22_24,A24_28,A28_30,A22_28,A24_30,A1_29,A1_2,A2_5,A2_3,A11_50,A50_42,A1_4,A1_6,A4_3,A1_7,A4_6,A4_7,A7_6,A1_50,P_N
AK_14500_1,8.96,4.10,7.28,6.48,11.27,13.45,10.28,16.70,16.01,14.25,19.71,21.12,11.55,14.06,21.23,22.84,19.81,16.73,3.73,9.37,18.17,11.40,5.23,2.15,5.32,6.90,7.54,64.47,3.72,4.60,3.72,5.98,8.31,6.08,8.86,4.19,10.84,3.21,4.60,3.59,17.54,21.00
AK_14500_2,8.83,3.81,7.88,6.96,12.19,13.94,10.34,16.22,14.33,15.65,18.90,22.22,10.90,12.60,18.57,14.34,17.54,15.50,3.65,8.20,16.63,9.52,5.14,1.97,4.23,5.28,5.50,61.61,3.98,5.11,4.02,5.89,9.46,5.85,8.50,3.76,10.49,3.47,4.54,3.96,17.48,26.00
AK_14500_3,8.59,4.29,7.75,6.84,12.27,13.47,11.09,16.75,18.27,17.24,20.80,23.27,13.13,16.25,23.57,25.90,22.35,17.89,4.09,10.37,19.90,12.32,4.40,2.72,4.68,6.27,5.71,67.63,3.85,5.30,3.46,6.98,8.32,5.90,5.85,4.45,10.73,3.37,5.05,3.69,18.20,20.00
AK_14500_4,9.60,4.21,8.15,6.73,12.77,14.86,10.39,16.86,15.35,17.84,19.98,24.23,12.37,13.25,21.00,22.48,19.66,15.80,4.34,9.89,17.39,11.02,5.36,2.14,4.94,6.19,3.97,65.82,4.27,5.04,4.20,5.66,11.17,6.36,9.40,4.78,11.14,3.74,4.75,4.22,18.29,23.00
AK_14500_5,8.30,4.16,7.12,5.87,11.13,12.60,9.02,14.25,14.08,15.56,18.95,20.98,11.53,11.78,18.66,20.86,18.00,16.30,3.39,9.06,16.22,10.36,4.48,1.79,4.77,7.00,7.00,60.67,3.43,4.73,3.45,5.56,9.93,5.55,7.78,4.50,9.94,3.38,4.60,3.53,16.87,26.00
AK_14500_6,8.55,4.39,6.70,5.35,10.03,11.42,8.58,12.70,13.64,13.41,16.79,18.29,9.26,11.33,16.78,18.97,16.82,14.42,3.18,8.69,15.85,9.85,4.42,1.69,4.32,5.78,5.59,54.20,3.08,4.73,3.47,5.88,8.48,5.38,7.24,4.20,9.70,2.79,4.00,2.84,16.22,24.00
AK_14500_7,8.55,4.05,6.89,5.83,10.85,12.31,9.42,14.70,15.22,13.90,18.06,22.07,12.07,12.71,21.23,21.60,19.76,16.37,3.14,9.80,17.91,11.22,4.93,2.14,4.12,5.06,5.16,61.49,3.11,4.52,3.58,6.48,9.50,5.33,8.07,3.78,9.77,3.11,4.58,3.99,16.46,25.00
AK_14500_8,7.06,3.14,5.69,5.77,9.03,10.32,7.52,12.34,13.33,12.80,16.63,17.96,8.98,10.58,15.30,17.67,15.46,13.62,3.05,7.87,14.06,9.51,2.93,1.58,2.68,4.09,4.31,50.03,2.80,4.07,2.82,5.51,8.12,4.40,7.09,2.71,8.88,2.58,4.08,2.79,14.63,22.00
AK_14501_1,8.76,3.89,7.25,6.14,11.21,12.37,9.06,14.76,16.14,15.65,20.44,21.68,11.56,13.03,19.06,22.16,19.17,14.44,3.51,9.11,16.06,10.81,5.25,1.84,3.95,6.22,6.15,59.46,3.61,4.44,3.81,5.15,8.23,5.35,8.61,3.75,9.85,3.47,4.64,3.61,16.66,24.00
AK_14501_2,8.07,3.12,5.97,5.15,10.06,11.42,8.08,13.55,15.32,14.51,18.71,19.21,11.15,12.71,18.08,21.85,17.79,14.04,3.78,8.13,16.60,10.37,4.80,1.80,3.51,6.26,3.43,55.76,3.20,5.16,3.07,5.38,7.69,4.90,8.01,3.54,9.61,2.87,4.46,3.24,16.14,22.00
AK_14501_3,6.42,3.07,5.25,4.40,8.78,9.53,6.72,11.37,11.72,12.33,14.39,16.63,8.23,9.86,14.67,16.61,14.03,10.94,3.42,5.39,11.98,7.36,5.18,1.51,3.66,5.89,4.03,46.75,2.46,4.12,2.78,4.10,7.63,3.91,6.24,2.94,7.83,2.64,3.90,2.44,13.08,24.00
AK_14501_4,7.38,3.32,6.68,5.02,10.24,8.42,8.07,13.13,13.47,13.89,17.57,18.23,9.52,12.65,16.68,19.49,16.60,12.80,3.08,6.88,15.04,9.31,4.99,1.67,4.03,5.89,5.97,52.59,3.16,4.11,3.19,5.22,7.79,5.06,7.23,4.27,8.71,2.37,3.93,3.09,15.67,23.00
AK_14501_5,7.91,3.90,6.95,5.83,11.83,13.71,9.04,15.35,15.68,16.62,19.72,22.54,10.92,14.27,20.66,22.91,19.33,15.18,3.11,9.73,19.34,10.13,4.44,2.06,3.62,6.00,4.00,60.47,3.13,4.45,3.10,5.10,10.02,5.58,8.04,4.08,9.53,3.57,4.57,3.16,16.67,24.00
AK_14501_6,11.42,6.08,9.27,5.40,14.69,16.04,11.81,17.78,18.85,18.71,23.98,26.15,11.16,15.46,20.20,24.37,20.70,18.07,4.12,11.18,20.51,13.86,3.70,2.63,3.08,6.29,3.74,69.21,4.80,6.59,4.85,7.46,11.96,8.10,11.00,5.73,13.76,4.27,5.46,4.13,21.72,23.00
AK_14501_7,6.53,3.03,5.30,5.03,9.37,10.42,8.05,11.64,12.49,12.71,16.30,16.77,8.36,9.87,13.68,16.41,14.78,10.97,3.18,6.93,13.55,8.11,5.37,1.48,4.44,6.77,5.19,47.24,2.69,3.91,3.06,4.84,7.04,3.96,5.97,3.05,8.00,2.62,3.84,2.88,13.15,21.00
AK_14501_8,6.97,3.39,6.08,4.99,9.58,10.74,8.13,12.17,13.09,12.57,16.63,17.51,9.32,10.47,15.06,17.84,16.09,12.63,2.87,7.86,14.03,9.72,4.24,1.44,4.28,5.57,4.96,50.66,2.77,4.46,2.80,5.50,7.96,4.64,6.80,3.20,8.72,2.98,3.91,3.23,14.68,23.00
AK_14501_9,3.57,4.45,8.16,5.85,11.53,13.42,10.31,17.40,16.95,18.00,21.97,23.38,13.72,15.58,24.26,26.62,21.81,17.28,2.84,8.92,19.19,10.91,4.46,1.99,4.18,5.80,5.08,67.96,3.91,5.34,4.27,6.13,12.12,5.81,8.74,4.33,10.93,3.36,4.48,3.42,17.80,24.00
AK_14501_10,6.82,2.56,5.47,4.62,8.56,9.91,6.87,11.46,12.35,12.84,15.55,16.56,8.95,10.24,14.57,17.27,14.80,11.03,3.23,6.49,13.24,8.01,4.26,1.43,3.20,4.79,4.35,46.54,2.59,4.22,2.65,4.70,6.31,4.12,5.87,3.07,7.98,2.89,3.63,2.76,12.70,23.00
AK_14501_11,9.84,5.19,7.65,6.10,12.16,13.51,10.50,15.32,17.34,15.16,20.86,20.95,10.30,15.32,18.44,22.85,19.60,17.18,3.75,9.08,18.20,11.98,4.71,2.11,4.29,6.02,5.87,62.57,4.77,5.40,4.24,6.27,8.49,6.86,9.25,4.51,11.42,3.25,4.59,3.09,18.42,25.00
AK_14501_12,8.31,4.18,7.12,6.10,11.27,12.68,9.43,15.70,14.80,15.44,19.30,21.14,10.28,14.05,19.78,22.14,18.86,14.53,3.33,8.30,17.44,9.54,4.47,1.87,3.47,5.38,5.21,61.13,3.91,5.11,3.78,6.08,8.57,5.98,8.17,3.96,10.29,3.29,4.14,3.62,17.73,22.00
AK_14501_13,7.00,3.26,6.38,4.43,9.80,10.79,7.91,11.21,13.70,13.06,16.64,18.39,9.63,12.27,15.85,19.32,16.24,12.84,3.22,7.93,15.54,8.82,5.61,1.77,4.51,7.18,5.20,52.87,3.21,4.32,2.93,4.29,8.34,4.93,7.12,3.87,8.91,2.51,4.09,3.07,14.95,23.00
AK_14501_14,9.71,5.05,7.31,6.28,12.40,13.95,10.29,15.19,16.98,16.29,21.45,22.50,10.52,14.81,18.29,22.68,19.45,17.06,3.86,9.27,18.94,11.86,4.08,1.94,4.25,6.26,4.78,54.69,3.39,4.49,3.42,5.33,7.47,4.91,7.42,4.04,8.97,3.37,4.16,3.34,15.38,24.00
AK_14501_15,7.91,3.71,6.41,5.24,10.67,6.67,9.05,14.98,14.61,14.81,19.01,20.19,10.79,14.16,19.83,23.33,18.70,14.41,3.00,8.17,14.51,10.45,5.48,1.79,3.22,5.49,4.15,58.48,3.67,4.34,3.57,5.77,9.44,5.37,7.97,3.75,10.00,3.40,4.28,3.57,15.87,18.00